formulation,scenario_count,same_objective_count,same_schedule_count,avg_lp_fractional_mode_count,max_objective_gap_eur,avg_mip_runtime_seconds,avg_lp_runtime_seconds
basic,9,2,1,586.8888888888889,2.2132725441421783,11.597671388881281,1.2729458221648302
tighter,9,4,0,431.6666666666667,0.022037394719491843,6.621685455579104,1.0435604222843216
