scenario,formulation,mip_status,lp_status,mip_objective_eur,lp_objective_eur,objective_gap_eur,same_objective,same_schedule,schedule_gap,lp_fractional_mode_count,lp_max_mode_fractionality,mip_runtime_seconds,lp_runtime_seconds,periods
baseline,basic,OPTIMAL,OPTIMAL,32.259181338199994,32.48662852642673,0.2274471882267335,False,False,3.8050000000000006,798,0.4743758212877792,5.208222199929878,0.8502670999150723,7895
baseline,tighter,OPTIMAL,OPTIMAL,32.259181338199994,32.26462791635416,0.005446578154163717,False,False,1.263157894736843,559,0.476454293628809,3.9429760999046266,1.0258164000697434,7895
flat_prices,basic,OPTIMAL,OPTIMAL,-23.119506183225642,-23.119506183225642,0.0,True,True,6.938893903907228e-18,0,0.0,16.35128950001672,0.7571445000357926,7895
flat_prices,tighter,OPTIMAL,OPTIMAL,-23.119506183225642,-23.119506183225642,0.0,True,False,1.5,0,0.0,2.2245471999049187,0.9700916998554021,7895
high_price_spread,basic,OPTIMAL,OPTIMAL,48.38877200729903,48.72994278963902,0.34117078233998654,False,False,3.8049999999999997,798,0.4743758212877792,4.670262299943715,0.854772699996829,7895
high_price_spread,tighter,OPTIMAL,OPTIMAL,48.38877200729903,48.39694187453021,0.008169867231174521,False,False,1.9,559,0.476454293628809,4.1834890998434275,1.0496410001069307,7895
perfect_efficiency,basic,OPTIMAL,OPTIMAL,56.68759214000003,56.68759214000003,0.0,True,False,0.5,556,0.25,2.829464999958873,0.8447616999037564,7895
perfect_efficiency,tighter,OPTIMAL,OPTIMAL,56.68759214000003,56.687592140000085,5.684341886080802e-14,True,False,2.0,556,0.25,3.7773037999868393,1.0833387000020593,7895
low_efficiency,basic,OPTIMAL,OPTIMAL,-8.87097773387548,-8.287614212398925,0.5833635214765547,False,False,3.445,660,0.4982698961937716,6.456055900081992,0.848202200140804,7895
low_efficiency,tighter,OPTIMAL,OPTIMAL,-8.87097773387548,-8.848940339155988,0.022037394719491843,False,False,2.8900000000000006,424,0.4982698961937716,6.536973200039938,1.0009586000815034,7895
tight_power_limits,basic,OPTIMAL,OPTIMAL,-51.532463231087526,-51.53235306486432,0.00011016622320880742,False,False,0.2628120893561104,209,0.4986149584487508,8.489723400212824,0.9222047999501228,7895
tight_power_limits,tighter,OPTIMAL,OPTIMAL,-51.532463231087554,-51.53244198076447,2.1250323086974277e-05,False,False,0.5263157894736841,204,0.4986149584487508,10.946909400168806,1.0931293999310583,7895
loose_power_limits,basic,OPTIMAL,OPTIMAL,52.501154389999776,54.714426934141954,2.2132725441421783,False,False,4.684986859395534,1039,0.4743758212877792,2.4181502999272197,0.8445163001306355,7895
loose_power_limits,tighter,OPTIMAL,OPTIMAL,52.501154389999776,52.501154389999776,0.0,True,False,4.736842105263158,776,0.46562500000000007,2.1447002000641078,1.0153963000047952,7895
small_capacity,basic,OPTIMAL,OPTIMAL,-74.86946342578935,-74.36560443932765,0.5038589864616938,False,False,1.5789473684210527,1038,0.4743758212877792,7.563065999886021,4.56208679988049,7895
small_capacity,tighter,OPTIMAL,OPTIMAL,-74.86946342578936,-74.86946342578936,0.0,True,False,1.5789473684210527,627,0.21052631578947367,9.612962499959394,5.45696060010232,7895
large_capacity,basic,OPTIMAL,OPTIMAL,214.09350414706407,214.09382878908266,0.0003246420185973875,False,False,1.0512483574244416,184,0.4875346260387844,46.09159530000761,5.101701500127092,7895
large_capacity,tighter,OPTIMAL,OPTIMAL,214.093504147064,214.0935409095977,3.676253368212201e-05,False,False,1.9833795013850446,180,0.4875346260387844,50.12845310010016,1.1650964999571443,7895
