size,period,scenario,basic_mip,basic_lp,basic_gap,basic_mip_runtime_seconds,basic_lp_runtime_seconds,tighter_mip,tighter_lp,tighter_gap,tighter_mip_runtime_seconds,tighter_lp_runtime_seconds
0.1,start,10% - start,30.866721993379507,30.915567308715982,0.04884531533647518,0.802830696105957,0.2167372703552246,30.866721993379503,30.870088300869643,0.003366307490139775,0.6626532077789307,0.22666549682617188
0.1,middle,10% - middle,24.9661670345152,24.976169319815547,0.010002285300348746,0.6880781650543213,0.1994457244873047,24.9661670345152,24.966517034041985,0.00034999952678660406,0.87662672996521,0.19460129737854004
0.1,end,10% - end,-35.03189253155124,-35.03189253155124,0.0,0.9760715961456299,0.2243635654449463,-35.03189253155124,-35.03189253155124,0.0,0.7331476211547852,0.17882537841796875
0.2,start,20% - start,60.2406864841829,60.40728594621168,0.16659946202877762,1.3936572074890137,0.4580109119415283,60.24068648418289,60.24459353737285,0.003907053189962539,1.5690948963165283,0.45736241340637207
0.2,middle,20% - middle,36.866221675595455,36.89253916296648,0.02631748737102413,1.343296766281128,0.44042325019836426,36.866221675595455,36.866702184811736,0.0004805092162811775,1.5224494934082031,0.3920447826385498
0.2,end,20% - end,-76.66216533166204,-76.66216533166204,0.0,1.7231981754302979,0.44997406005859375,-76.66250427903046,-76.66216533166204,0.00033894736841943995,1.9512505531311035,0.4600100517272949
0.5,start,50% - start,123.85402507933513,124.06872125332526,0.2146961739901343,3.837217330932617,1.1199991703033447,123.8540250793351,123.85899891644513,0.004973837110028967,3.861201286315918,1.1408791542053223
0.5,middle,50% - middle,49.07639049684184,49.11535649608773,0.03896599924588884,3.7307724952697754,1.0749790668487549,49.07639049684184,49.07792872711072,0.0015382302688777827,3.711845636367798,1.1606755256652832
0.5,end,50% - end,-91.56749781850421,-91.55474680426758,0.012751014236627611,4.794892311096191,1.116929054260254,-91.56749781850421,-91.56702507746003,0.0004727410441773827,3.9924182891845703,1.1148242950439453
0.75,start,75% - start,120.76081644360139,120.98826363182813,0.2274471882267477,7.241720199584961,1.5822978019714355,120.76081644360144,120.76626302175555,0.005446578154106874,7.521267652511597,1.8867254257202148
0.75,middle,75% - middle,42.07204471678666,42.211929996209165,0.13988527942250784,7.525123596191406,2.1544225215911865,42.072324716786675,42.07402305232382,0.0016983355371422704,12.214057207107544,3.613872528076172
0.75,end,75% - end,-39.40244915008336,-39.363483150837475,0.03896599924588884,16.165340662002563,3.2886180877685547,-39.40244915008335,-39.400910919814486,0.0015382302688635718,16.041001319885254,3.61676287651062
