formulation,degradation_cost_eur_per_kwh_throughput,status,periods,objective_eur,runtime_seconds,throughput_kwh,equivalent_cycles,total_import_kwh,total_export_kwh,average_soc_utilization,implied_degradation_cost_eur
basic,0.0,OPTIMAL,168,6.78120985263158,0.07400012016296387,105.16131578947369,11.252222222222223,34.653263157894735,81.40394736842106,0.3997215260373156,0.0
basic,0.005,OPTIMAL,168,6.288966323684212,0.00800013542175293,97.55131578947369,10.450000000000001,30.831263157894735,77.97194736842104,0.4022347535505431,0.48775657894736846
basic,0.01,OPTIMAL,168,5.810298103462605,0.006000041961669922,91.01641274238227,9.761111111111113,27.95536011080332,75.43094736842104,0.38923698134224455,0.9101641274238227
basic,0.02,OPTIMAL,168,5.025674744736842,0.026000022888183594,64.5078947368421,6.966666666666667,14.106842105263157,62.94094736842105,0.3304093567251462,1.2901578947368422
basic,0.03,OPTIMAL,168,4.407942549445983,0.029000043869018555,56.12846260387812,6.083333333333333,12.341252077562325,61.60478947368421,0.4001113895850738,1.6838538781163435
tighter,0.0,OPTIMAL,168,6.78120985263158,0.016000032424926758,105.16131578947369,11.252222222222223,35.070263157894736,81.82094736842106,0.40130882762461717,0.0
tighter,0.005,OPTIMAL,168,6.288966323684212,0.02700018882751465,97.55131578947369,10.450000000000001,31.300263157894733,78.44094736842105,0.4054093567251463,0.48775657894736846
tighter,0.01,OPTIMAL,168,5.810298103462605,0.010999917984008789,91.01641274238227,9.761111111111113,27.95536011080332,75.43094736842104,0.38923698134224455,0.9101641274238227
tighter,0.02,OPTIMAL,168,5.0256747447368415,0.01900005340576172,64.5078947368421,6.966666666666667,13.637842105263157,62.47194736842105,0.32723475355054304,1.2901578947368422
tighter,0.03,OPTIMAL,168,4.407942549445983,0.020000219345092773,56.12846260387812,6.083333333333333,12.341252077562325,61.60478947368421,0.4001113895850738,1.6838538781163435
