grid_fee_eur_per_kwh,pf_profit_eur,da_profit_eur,vpi_eur,vpi_pct
0.0,-12.648609405844324,-17.702394486038756,5.053785080194432,39.95526241690503
0.01,-58.07539703580523,-64.35271374231039,6.277316706505154,10.808908809758114
0.02,-93.65923172693152,-100.40822291140822,6.748991184476694,7.205900646456012
0.03,-125.47144160380374,-132.48722259833988,7.015780994536144,5.591536133528776
0.04,-155.41566955377158,-162.56547297303297,7.149803419261389,4.600439221984408
0.05,-184.3389094194595,-191.5924150838361,7.253505664376604,3.934875001278974
