degradation_cost_eur_per_kwh,pf_profit_eur,da_profit_eur,vpi_eur,vpi_pct
0.0,-63.15796178368605,-68.57685517739964,5.418893393713589,8.579905431833158
0.005,-79.44954921109651,-85.48785393765566,6.038304726559147,7.600174936821155
0.01,-93.65917340851047,-100.39998664876225,6.740813240251782,7.197173533499569
0.02,-117.48759095596667,-125.42672951566973,7.939138559703068,6.757427312198944
0.03,-137.04756841952988,-145.5321807726054,8.484612353075505,6.190998097173398
