scenario,formulation,terminal_strategy,window,step,overlap,n_subproblems,total_profit_eur,total_solve_time_seconds,equivalent_cycles,throughput_kwh,total_import_kwh,total_export_kwh,total_grid_exchange_kwh,self_consumption_rate,periods,vpi_eur,vpi_pct,grid_fee
perfect_foresight,basic,n/a,7895,7895,0,1,-12.648609405844324,5.222317100000055,399.9122222222222,3793.6271606648197,2972.211210526316,2497.4610498614957,5469.672260387812,0.3503979656803767,7895,0.0,0.0,0.0
two_day,basic,hard_floor,48,24,24,329,-12.677085064570626,7.941759900001216,398.58444444444444,3781.0316620498616,2966.250711911357,2492.1460498614956,5458.396761772852,0.3502364945958271,7895,0.0284756587263022,0.225128769595375,0.0
day_ahead,basic,hard_floor,24,24,0,329,-17.702394486038756,6.320186800002375,419.01666666666665,3974.854778393352,3062.784894736842,2578.7471163434902,5641.532011080332,0.3494533493165304,7895,5.053785080194432,39.95526241690503,0.0
